Offset,Chord,NormalForm,PCsInNormalForm,measureNumber,beatNumber,Composer,File
95,<music21.chord.Chord A4 F#5 E-3>,"[0, 3, 6]","[3, 6, 9]",39,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
95.5,<music21.chord.Chord E5 A4 F#4 C4 E-3>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
96,<music21.chord.Chord E-5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,3,Albeniz,Suite Espana 6 Zortzico Op165 E major
96.125,<music21.chord.Chord F#5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",39,3.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
96.16666667,<music21.chord.Chord A4 F#5 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",39,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
96.25,<music21.chord.Chord E-5 A4 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",39,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
96.5,<music21.chord.Chord E5 A4 E-3 C4>,"[0, 3, 6, 7]","[9, 0, 3, 4]",39,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
97.16666667,<music21.chord.Chord A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",39,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
97.25,<music21.chord.Chord E-5 A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",39,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
97.5,<music21.chord.Chord C5 G#4 E4>,"[0, 4, 8]","[0, 4, 8]",40,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
98,<music21.chord.Chord C#5 G#4 C#4>,"[0, 5]","[8, 1]",40,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
98.66666667,<music21.chord.Chord G#4>,[0],[8],40,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
98.75,<music21.chord.Chord E5 G#3>,"[0, 4]","[4, 8]",40,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
99,<music21.chord.Chord G#5 E3>,"[0, 4]","[4, 8]",40,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
99.75,<music21.chord.Chord B5 C#3>,"[0, 2]","[11, 1]",40,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
100,<music21.chord.Chord B5 E-6 F#2>,"[0, 4, 7]","[11, 3, 6]",41,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
100.5,<music21.chord.Chord B-5 C#6 F3>,"[0, 3, 7]","[10, 1, 5]",41,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
101.25,<music21.chord.Chord F#5 B-5 F#3>,"[0, 4]","[6, 10]",41,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
101.5,<music21.chord.Chord E5 G#5 B-3>,"[0, 4, 6]","[4, 8, 10]",41,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
102.25,<music21.chord.Chord D5 F5 F#4>,"[0, 3, 4]","[2, 5, 6]",41,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
102.5,<music21.chord.Chord E-5 F#5 B2>,"[0, 4, 7]","[11, 3, 6]",42,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
103,<music21.chord.Chord E-5 F#5 F3>,"[0, 2, 3]","[3, 5, 6]",42,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
103.6666667,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",42,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
103.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",42,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
103.875,<music21.chord.Chord E-5 F#5 B-3 F#3>,"[0, 3, 7]","[3, 6, 10]",42,3.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
104,<music21.chord.Chord E-5 F#5 G#3>,"[0, 3, 5]","[3, 6, 8]",42,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
104.6666667,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",42,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
104.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",42,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
105,<music21.chord.Chord D4>,[0],[2],43,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
105.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",43,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
106.1666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",43,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
106.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",43,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
106.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",43,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
107.1666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",43,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
107.25,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",43,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
107.5,<music21.chord.Chord C#4>,[0],[1],44,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
107.6666667,<music21.chord.Chord D4>,[0],[2],44,1.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
107.875,<music21.chord.Chord C#4>,[0],[1],44,1.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
108,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",44,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
108.6666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",44,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
108.75,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",44,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
109,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",44,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
109.6666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",44,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
109.75,<music21.chord.Chord F#4 B4 D5 F#5 E4>,"[0, 3, 5, 7]","[11, 2, 4, 6]",44,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
110,<music21.chord.Chord D4>,[0],[2],45,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
110.125,<music21.chord.Chord E-4>,[0],[3],45,1.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
110.3333333,<music21.chord.Chord D4>,[0],[2],45,1.666666667,Albeniz,Suite Espana 6 Zortzico Op165 E major
110.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",45,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
111.1666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",45,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
111.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",45,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
111.5,<music21.chord.Chord A5 C#5 E5 B-4 B3>,"[0, 1, 2, 4, 7]","[9, 10, 11, 1, 4]",45,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
112.1666667,<music21.chord.Chord C#5 E5 B3 B-4>,"[0, 1, 3, 6]","[10, 11, 1, 4]",45,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
112.25,<music21.chord.Chord G5 C#5 E5 B3 B-4>,"[0, 1, 3, 6, 9]","[10, 11, 1, 4, 7]",45,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
112.5,<music21.chord.Chord E-5 F#5 B4>,"[0, 4, 7]","[11, 3, 6]",46,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
113,<music21.chord.Chord E-5 F#5 F4>,"[0, 2, 3]","[3, 5, 6]",46,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
113.6666667,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",46,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
113.75,<music21.chord.Chord E-5 F#5 F#4>,"[0, 3]","[3, 6]",46,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
113.875,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]",46,3.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
114,<music21.chord.Chord G4>,[0],[7],46,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
114.75,<music21.chord.Chord F#4>,[0],[6],46,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
115,<music21.chord.Chord C5 F#5 A5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",47,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
115.5,<music21.chord.Chord B4 E5 G#5 E4>,"[0, 4, 7]","[4, 8, 11]",47,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
116.25,<music21.chord.Chord C#5 E5 G#5 B-3>,"[0, 2, 5, 8]","[8, 10, 1, 4]",47,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
116.5,<music21.chord.Chord D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",47,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
117.25,<music21.chord.Chord F#5 B5 A3>,"[0, 3, 5]","[6, 9, 11]",47,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
117.5,<music21.chord.Chord B4 F5 B5 G#3>,"[0, 3, 6]","[5, 8, 11]",48,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
118,<music21.chord.Chord B4 E5 B5 G3>,"[0, 3, 7]","[4, 7, 11]",48,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
118.75,<music21.chord.Chord B4 C#5 B5 F3>,"[0, 2, 6]","[11, 1, 5]",48,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
119,<music21.chord.Chord B4 D5 B5 F#3>,"[0, 3, 7]","[11, 2, 6]",48,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
120,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
120.5,<music21.chord.Chord G4 B4 C#5 E4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
121.25,<music21.chord.Chord G4 B4 E-5 D4>,"[0, 4, 7, 8]","[7, 11, 2, 3]",49,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
121.5,<music21.chord.Chord E5 G4 B4 C#4>,"[0, 2, 5, 8]","[11, 1, 4, 7]",49,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
122.1666667,<music21.chord.Chord G4 B4 C#4>,"[0, 4, 6]","[7, 11, 1]",49,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
122.25,<music21.chord.Chord G#5 G4 B4 C#4>,"[0, 1, 4, 6]","[7, 8, 11, 1]",49,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
122.5,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",50,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
123,<music21.chord.Chord B-4 C#5 F#3 E4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",50,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
123.75,<music21.chord.Chord B-4 D5 F#3 E4>,"[0, 2, 4, 8]","[2, 4, 6, 10]",50,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
124,<music21.chord.Chord F#4 B4 B3 D4>,"[0, 3, 7]","[11, 2, 6]",50,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
125,<music21.chord.Chord B3>,[0],[11],51,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
125.125,<music21.chord.Chord C#4>,[0],[1],51,1.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
125.3333333,<music21.chord.Chord B3>,[0],[11],51,1.666666667,Albeniz,Suite Espana 6 Zortzico Op165 E major
125.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",51,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
126.1666667,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",51,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
126.25,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",51,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
126.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",51,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
127.1666667,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",51,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
127.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",51,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
127.5,<music21.chord.Chord G#3>,[0],[8],52,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
127.6666667,<music21.chord.Chord B-3>,[0],[10],52,1.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
127.875,<music21.chord.Chord G#3>,[0],[8],52,1.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
128,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",52,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
128.6666667,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",52,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
128.75,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",52,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
129,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",52,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
129.6666667,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",52,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
129.75,<music21.chord.Chord E-4 F#4 B4 E-5 B3>,"[0, 4, 7]","[11, 3, 6]",52,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
130,<music21.chord.Chord B-3>,[0],[10],53,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
130.125,<music21.chord.Chord B3>,[0],[11],53,1.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
130.3333333,<music21.chord.Chord B-3>,[0],[10],53,1.666666667,Albeniz,Suite Espana 6 Zortzico Op165 E major
130.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",53,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
131.1666667,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",53,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
131.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",53,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
131.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",53,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
132.1666667,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",53,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
132.25,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",53,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
132.5,<music21.chord.Chord F#3>,[0],[6],54,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
133,<music21.chord.Chord D4 F#3>,"[0, 4]","[2, 6]",54,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
133.6666667,<music21.chord.Chord F#3>,[0],[6],54,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
133.75,<music21.chord.Chord E-4 F#3>,"[0, 3]","[3, 6]",54,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
133.875,<music21.chord.Chord E-4>,[0],[3],54,3.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
134,<music21.chord.Chord F#4>,[0],[6],54,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
134.75,<music21.chord.Chord B4>,[0],[11],54,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
135,<music21.chord.Chord A4 F#5 E-3>,"[0, 3, 6]","[3, 6, 9]",55,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
135.5,<music21.chord.Chord E5 A4 F#4 C4 E-3>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",55,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
136,<music21.chord.Chord E-5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",55,3,Albeniz,Suite Espana 6 Zortzico Op165 E major
136.125,<music21.chord.Chord F#5 A4 E5 E-3 F#4 C4>,"[0, 1, 3, 6, 9]","[3, 4, 6, 9, 0]",55,3.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
136.1666667,<music21.chord.Chord A4 F#5 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",55,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
136.25,<music21.chord.Chord E-5 A4 E-3 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",55,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
136.5,<music21.chord.Chord E5 A4 E-3 C4>,"[0, 3, 6, 7]","[9, 0, 3, 4]",55,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
137.1666667,<music21.chord.Chord A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",55,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
137.25,<music21.chord.Chord E-5 A4 E-3 C4>,"[0, 3, 6]","[9, 0, 3]",55,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
137.5,<music21.chord.Chord C5 G#4 E4>,"[0, 4, 8]","[0, 4, 8]",56,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
138,<music21.chord.Chord C#5 G#4 C#4>,"[0, 5]","[8, 1]",56,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
138.6666667,<music21.chord.Chord G#4>,[0],[8],56,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
138.75,<music21.chord.Chord E5 G#3>,"[0, 4]","[4, 8]",56,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
139,<music21.chord.Chord G#5 E3>,"[0, 4]","[4, 8]",56,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
139.75,<music21.chord.Chord B5 C#3>,"[0, 2]","[11, 1]",56,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
140,<music21.chord.Chord B5 E-6 F#2>,"[0, 4, 7]","[11, 3, 6]",57,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
140.5,<music21.chord.Chord B-5 C#6 F3>,"[0, 3, 7]","[10, 1, 5]",57,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
141.25,<music21.chord.Chord F#5 B-5 F#3>,"[0, 4]","[6, 10]",57,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
141.5,<music21.chord.Chord E5 G#5 B-3>,"[0, 4, 6]","[4, 8, 10]",57,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
142.25,<music21.chord.Chord D5 F5 F#4>,"[0, 3, 4]","[2, 5, 6]",57,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
142.5,<music21.chord.Chord E-5 F#5 B2>,"[0, 4, 7]","[11, 3, 6]",58,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
143,<music21.chord.Chord E-5 F#5 F3>,"[0, 2, 3]","[3, 5, 6]",58,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
143.6666667,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",58,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
143.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",58,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
143.875,<music21.chord.Chord E-5 F#5 B-3 F#3>,"[0, 3, 7]","[3, 6, 10]",58,3.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
144,<music21.chord.Chord E-5 F#5 G#3>,"[0, 3, 5]","[3, 6, 8]",58,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
144.6666667,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",58,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
144.75,<music21.chord.Chord E-5 F#5 F#3>,"[0, 3]","[3, 6]",58,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
145,<music21.chord.Chord D4>,[0],[2],59,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
145.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",59,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
146.1666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",59,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
146.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",59,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
146.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",59,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
147.1666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",59,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
147.25,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",59,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
147.5,<music21.chord.Chord C#4>,[0],[1],60,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
147.6666667,<music21.chord.Chord D4>,[0],[2],60,1.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
147.875,<music21.chord.Chord C#4>,[0],[1],60,1.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
148,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",60,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
148.6666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",60,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
148.75,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",60,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
149,<music21.chord.Chord F#4 B4 D5 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",60,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
149.6666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",60,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
149.75,<music21.chord.Chord F#4 B4 D5 F#5 E4>,"[0, 3, 5, 7]","[11, 2, 4, 6]",60,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
150,<music21.chord.Chord D4>,[0],[2],61,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
150.125,<music21.chord.Chord E-4>,[0],[3],61,1.25,Albeniz,Suite Espana 6 Zortzico Op165 E major
150.3333333,<music21.chord.Chord D4>,[0],[2],61,1.666666667,Albeniz,Suite Espana 6 Zortzico Op165 E major
150.5,<music21.chord.Chord F#4 B4 D5 F#5 C#4>,"[0, 2, 3, 7]","[11, 1, 2, 6]",61,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
151.1666667,<music21.chord.Chord F#4 B4 D5 F#5>,"[0, 3, 7]","[11, 2, 6]",61,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
151.25,<music21.chord.Chord F#4 B4 D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",61,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
151.5,<music21.chord.Chord A5 C#5 E5 B-4 B3>,"[0, 1, 2, 4, 7]","[9, 10, 11, 1, 4]",61,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
152.1666667,<music21.chord.Chord C#5 E5 B3 B-4>,"[0, 1, 3, 6]","[10, 11, 1, 4]",61,0.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
152.25,<music21.chord.Chord G5 C#5 E5 B3 B-4>,"[0, 1, 3, 6, 9]","[10, 11, 1, 4, 7]",61,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
152.5,<music21.chord.Chord E-5 F#5 B4>,"[0, 4, 7]","[11, 3, 6]",62,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
153,<music21.chord.Chord E-5 F#5 F4>,"[0, 2, 3]","[3, 5, 6]",62,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
153.6666667,<music21.chord.Chord E-5 F#5>,"[0, 3]","[3, 6]",62,3.333333333,Albeniz,Suite Espana 6 Zortzico Op165 E major
153.75,<music21.chord.Chord E-5 F#5 F#4>,"[0, 3]","[3, 6]",62,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
153.875,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]",62,3.75,Albeniz,Suite Espana 6 Zortzico Op165 E major
154,<music21.chord.Chord G4>,[0],[7],62,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
154.75,<music21.chord.Chord F#4>,[0],[6],62,0.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
155,<music21.chord.Chord C5 F#5 A5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",63,1,Albeniz,Suite Espana 6 Zortzico Op165 E major
155.5,<music21.chord.Chord B4 E5 G#5 E4>,"[0, 4, 7]","[4, 8, 11]",63,2,Albeniz,Suite Espana 6 Zortzico Op165 E major
156.25,<music21.chord.Chord C#5 E5 G#5 B-3>,"[0, 2, 5, 8]","[8, 10, 1, 4]",63,3.5,Albeniz,Suite Espana 6 Zortzico Op165 E major
156.5,<music21.chord.Chord D5 F#5 B3>,"[0, 3, 7]","[11, 2, 6]",63,4,Albeniz,Suite Espana 6 Zortzico Op165 E major
