Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
76,<music21.chord.Chord F3 A3 C4 A5 C6 E6>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,20,1
80,<music21.chord.Chord B5 E6 G6>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,21,1
84,<music21.chord.Chord A3 C4 D#4 E4>,"[0, 3, 6, 7]","[9, 0, 3, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,1
84.5,<music21.chord.Chord F#3 A3 B3 C#4>,"[0, 3, 5, 7]","[6, 9, 11, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,1 1/2
85,<music21.chord.Chord D4 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,2
85.5,<music21.chord.Chord C4 E4 G4>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,2 1/2
86,<music21.chord.Chord B3 D4 F4>,"[0, 3, 6]","[11, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,3
86.5,<music21.chord.Chord A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,3 1/2
87,<music21.chord.Chord G3 B3 D4>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,4
87.5,<music21.chord.Chord F3 A3 C4>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,22,4 1/2
88.5,<music21.chord.Chord B5 E6 G6>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,23,1 1/2
89,<music21.chord.Chord B5 E6 G6>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,23,2
92,<music21.chord.Chord F3 A3 C4 A5 C6 E6>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,24,1
95.75,<music21.chord.Chord F3 A3 C4 C6>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,24,4 3/4
96,<music21.chord.Chord G3 B3 D4 D5 F#5 A5>,"[0, 1, 3, 5, 8]","[6, 7, 9, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,25,1
99,<music21.chord.Chord A3 C4 E4 F4 A4 C5>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,25,4
100,<music21.chord.Chord A3 C4 E4 F4 A4 C5>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,1
101,<music21.chord.Chord A3 C4 E4 F4 A4 C5>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,2
101.5,<music21.chord.Chord A4 C#5 E5>,"[0, 4, 7]","[9, 1, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,2 1/2
102,<music21.chord.Chord G4 B4 D5>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,3
102.5,<music21.chord.Chord E4 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,3 1/2
103,<music21.chord.Chord G4 B4 D5>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,4
103.3333333,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,4 1/3
103.5,<music21.chord.Chord D4 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,4 1/2
103.75,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,26,4 3/4
104,<music21.chord.Chord E3 G3 B3 C4 E4 G4>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,27,1
106,<music21.chord.Chord E3 G3 B3 C4 E4 G4>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,27,3
106.5,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,27,3 1/2
107,<music21.chord.Chord E4 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,27,4
107.5,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,27,4 1/2
108,<music21.chord.Chord D4 F#4 A4>,"[0, 4, 7]","[2, 6, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,1
108.5,<music21.chord.Chord D4 F#4 A4 B4 D5 F#5>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,1 1/2
109,<music21.chord.Chord D4 F#4 A4 F#5 G5 B5 D6>,"[0, 1, 3, 5, 8]","[6, 7, 9, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,2
110,<music21.chord.Chord C4 D4 G5 B5 D6>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,3
110.5,<music21.chord.Chord C4 A5 C6 E6>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,3 1/2
111,<music21.chord.Chord C4 F5 A5 C6>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,4
111.5,<music21.chord.Chord C4 G5 B5 D6>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,28,4 1/2
112,<music21.chord.Chord C4 D5 F5 A5>,"[0, 3, 5, 8]","[9, 0, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,1
112.3333333,<music21.chord.Chord C4 C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,1 1/3
112.5,<music21.chord.Chord C4 A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,1 1/2
112.75,<music21.chord.Chord C4 C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,1 3/4
113,<music21.chord.Chord C4 B4 D5 F#5>,"[0, 1, 3, 7]","[11, 0, 2, 6]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,2
113.5,<music21.chord.Chord C4 A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,2 1/2
114,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,3
114.5,<music21.chord.Chord C4 E4 G4 B4>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,3 1/2
115,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,4
115.3333333,<music21.chord.Chord C4 F4 A4 C#5>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,4 1/3
115.5,<music21.chord.Chord C4 D4 F4 A4>,"[0, 3, 5, 8]","[9, 0, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,4 1/2
115.75,<music21.chord.Chord C4 F4 A4 C#5>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,29,4 3/4
116,<music21.chord.Chord F4 A4 C5>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,1
116.5,<music21.chord.Chord G4 B4 D5>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,1 1/2
117,<music21.chord.Chord A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,2
117.5,<music21.chord.Chord B4 D5 F5>,"[0, 3, 6]","[11, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,2 1/2
118,<music21.chord.Chord C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,3
118.5,<music21.chord.Chord D5 F5 A5>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,3 1/2
119,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,4
119.5,<music21.chord.Chord A4 C5 D#5 E5>,"[0, 3, 6, 7]","[9, 0, 3, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,30,4 1/2
120,<music21.chord.Chord B3 D4 F#4 A4 C5 E5>,"[0, 2, 3, 5, 7, 9]","[9, 11, 0, 2, 4, 6]",Bachlund_Commedia_Dellarte.xml,Bachlund,31,1
124,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,32,1
124.5,<music21.chord.Chord E4 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,32,1 1/2
125,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,32,2
125.5,<music21.chord.Chord C4 E4 G4>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,32,2 1/2
126,<music21.chord.Chord C2 F#3 C4 E4 G4>,"[0, 4, 6, 7]","[0, 4, 6, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,32,3
