Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
127.5,<music21.chord.Chord A-2 B-3 F4 A-4>,"[0, 3, 5]","[5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,35,2.000
128.5,<music21.chord.Chord B-2 A-3 D-4 C5>,"[0, 2, 4, 5]","[8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,35,4.000
129.5,<music21.chord.Chord D-3 B-3 F4 B-4>,"[0, 3, 7]","[10, 1, 5]",Copland_Piano_Blues_No_3.mxl,Copland,35,6.000
130.5,<music21.chord.Chord C3 F3 D-4 F4 A-4>,"[0, 1, 5, 8]","[0, 1, 5, 8]",Copland_Piano_Blues_No_3.mxl,Copland,36,1.000
131,<music21.chord.Chord B-2 A-3 F4 C5>,"[0, 3, 5, 7]","[5, 8, 10, 0]",Copland_Piano_Blues_No_3.mxl,Copland,36,2.000
132,<music21.chord.Chord C3 G3 E-4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Copland_Piano_Blues_No_3.mxl,Copland,36,4.000
133,<music21.chord.Chord C2 C3 G3 E-4 B-4 E-5 G5>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Copland_Piano_Blues_No_3.mxl,Copland,36,6.000
134,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,37,1.000
134.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,37,1.500
135.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,37,2.500
135.75,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, 7, 8]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,37,2.750
136,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, 7, 8]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,37,3.000
137,<music21.chord.Chord C-2 G-2 D-3 A-3 B-3 F4 A-4>,"[0, 1, 3, 5, 6, 8]","[5, 6, 8, 10, 11, 1]",Copland_Piano_Blues_No_3.mxl,Copland,37,4.000
138,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,38,1.000
