Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,Measure Count,Composer
183,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,92,2,Debussy
183.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,92,2.125,Debussy
183.5,<music21.chord.Chord E-4 B-4 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,92,2.5,Debussy
184,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,93,1,Debussy
184.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,93,1.125,Debussy
184.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,93,1.5,Debussy
184.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,93,1.625,Debussy
185,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,93,2,Debussy
185.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,93,2.125,Debussy
185.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,93,2.5,Debussy
185.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,93,2.625,Debussy
186,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,94,1,Debussy
186.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,94,1.125,Debussy
186.25,<music21.chord.Chord G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,94,1.25,Debussy
186.5,<music21.chord.Chord G#3 E-3 F3>,"[0, 2, 5]","[3, 5, 8]",Children's Corner 113 6 Eb Major.mid,94,1.5,Debussy
186.625,<music21.chord.Chord G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,94,1.625,Debussy
186.75,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,94,1.75,Debussy
187,<music21.chord.Chord C4 E-2 B-2>,"[0, 2, 5]","[10, 0, 3]",Children's Corner 113 6 Eb Major.mid,94,2,Debussy
