Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
16.125,<music21.chord.Chord F5>,[0],[5],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
16.25,<music21.chord.Chord B5 F5>,"[0, 6]","[5, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
16.625,<music21.chord.Chord F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
17.125,<music21.chord.Chord F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
17.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
18.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
18.625,<music21.chord.Chord F5 B5 B-4 B-5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
19.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
19.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
20.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
