measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
53,1,156,<music21.chord.Chord D-2 D-5 F5>,"[0, 4]","[1, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
53,2,157,<music21.chord.Chord D-2 A-3 D-4 D-5 F5>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
53,3,158,<music21.chord.Chord D-2 A-3 D-4 F4 A-4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
54,1,159,<music21.chord.Chord A-1 C5 E-5>,"[0, 4, 7]","[8, 0, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
54,2,160,<music21.chord.Chord A-1 A-3 C4 C5 E-5>,"[0, 4, 7]","[8, 0, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
54,3,161,<music21.chord.Chord A-1 A-3 C4 F4 A-4>,"[0, 3, 7]","[5, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
55,1,162,<music21.chord.Chord D-2 C5 E-5>,"[0, 1, 3]","[0, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
55,2,163,<music21.chord.Chord D-2 A-3 D-4 C5 E-5>,"[0, 4, 5, 7]","[8, 0, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
56,1,165,<music21.chord.Chord A-2 C5 E-5>,"[0, 4, 7]","[8, 0, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
56,2,166,<music21.chord.Chord A-2 A-3 D-4>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
56,3,167,<music21.chord.Chord A-2 A-3 D-4 F4 A-4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
57,1,168,<music21.chord.Chord D-2 B-4 D-5>,"[0, 3]","[10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
57,2,169,<music21.chord.Chord D-2 B3 E-4 B-4 D-5>,"[0, 1, 3, 5]","[10, 11, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
57,3,170,<music21.chord.Chord D-2 B3 E-4 B-4>,"[0, 1, 3, 5]","[10, 11, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
58,1,171,<music21.chord.Chord D-3 D-5>,[0],[1],Poulenc_Les_chemins_de_lamour.mxl,Poulenc
58,2,172,<music21.chord.Chord D-3 B3 F4 D-5>,"[0, 2, 6]","[11, 1, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
58,3,173,<music21.chord.Chord D-3 B3 F4 B-4>,"[0, 1, 3, 7]","[10, 11, 1, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
59,1,174,<music21.chord.Chord G-2 F4>,"[0, 1]","[5, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
59,2,175,<music21.chord.Chord G-2 F3 B-3 D-4 F4>,"[0, 1, 5, 8]","[5, 6, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
59,3,176,<music21.chord.Chord D-3 F3 B-3 D-4 F4>,"[0, 3, 7]","[10, 1, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
60,1,177,<music21.chord.Chord B-3 F4>,"[0, 5]","[5, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
60,2,178,<music21.chord.Chord B-3>,[0],[10],Poulenc_Les_chemins_de_lamour.mxl,Poulenc
60,3,179,<music21.chord.Chord B-3 D-5>,"[0, 3]","[10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
61,1,180,<music21.chord.Chord B-2 E-5>,"[0, 5]","[10, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
61,2,181,<music21.chord.Chord B-2 G3 D-4 F4 G4 E-5>,"[0, 2, 4, 6, 9]","[1, 3, 5, 7, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
61,3,182,<music21.chord.Chord B-2 G3 D-4 F4 G4 D-5>,"[0, 2, 5, 8]","[5, 7, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
62,1,183,<music21.chord.Chord E-3 G4>,"[0, 4]","[3, 7]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
62,2,184,<music21.chord.Chord E-3 G3 C4 E-4 G4>,"[0, 3, 7]","[0, 3, 7]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
62,3,185,<music21.chord.Chord E-3 G3 C4 E-4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
63,1,186,<music21.chord.Chord B-2 F5>,"[0, 5]","[5, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
63,2,187,<music21.chord.Chord B-2 G-3 D-4 G-4 B-4 F5>,"[0, 1, 5, 8]","[5, 6, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
64,1,189,<music21.chord.Chord B-2 G-3 D-4 F4 F5>,"[0, 1, 5, 8]","[5, 6, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
64,2,190,<music21.chord.Chord B-2 G-3 D-4 F4>,"[0, 1, 5, 8]","[5, 6, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
