Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,Measure Count
42,<music21.chord.Chord C5 A2>,"[0, 3]","[9, 0]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,1
42.25,<music21.chord.Chord C5>,[0],[0],Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,1.25
43,<music21.chord.Chord C5 C4 F4>,"[0, 5]","[0, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,2
43.25,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,2.25
43.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,2.5
43.66666667,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,2.666666667
43.875,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,22,2.875
44,<music21.chord.Chord G4 G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,23,1
45,<music21.chord.Chord G4 C4 D4>,"[0, 2, 7]","[0, 2, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,23,2
45.125,<music21.chord.Chord C4 D4>,"[0, 2]","[0, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,23,2.125
45.75,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,23,2.75
46,<music21.chord.Chord G4 B3 D4>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,24,1
48,<music21.chord.Chord G4 F2>,"[0, 2]","[5, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,25,1
48.125,<music21.chord.Chord F2>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,25,1.125
48.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,25,1.5
49,<music21.chord.Chord B4 G3 D4>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,25,2
49.125,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,25,2.125
49.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,25,2.5
50,<music21.chord.Chord C5 E2>,"[0, 4]","[0, 4]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,26,1
50.25,<music21.chord.Chord C5>,[0],[0],Romanian Folk Dances 2 Braul D minor.mid,Bartok,26,1.25
51,<music21.chord.Chord C5 B3 C4>,"[0, 1]","[11, 0]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,26,2
51.25,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,Bartok,26,2.25
51.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,26,2.5
51.75,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,26,2.75
52,<music21.chord.Chord F4 F3 A3 C4>,"[0, 4, 7]","[5, 9, 0]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,27,1
52.25,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,27,1.25
52.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,Bartok,27,1.5
53,<music21.chord.Chord F4 A3 C#4>,"[0, 4, 8]","[1, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,27,2
53.125,<music21.chord.Chord A3 C#4>,"[0, 4]","[9, 1]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,27,2.125
53.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,27,2.5
54,<music21.chord.Chord F4 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,28,1
54.125,<music21.chord.Chord B-3 D4>,"[0, 4]","[10, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,28,1.125
54.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,Bartok,28,1.5
55,<music21.chord.Chord D4 B-2 F3>,"[0, 4, 7]","[10, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,28,2
55.25,<music21.chord.Chord D4>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,28,2.25
56,<music21.chord.Chord D4 G2>,"[0, 5]","[2, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,29,1
56.125,<music21.chord.Chord G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,29,1.125
56.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,Bartok,29,1.5
57,<music21.chord.Chord F4 D3 B3>,"[0, 3, 6]","[11, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,29,2
57.125,<music21.chord.Chord D3 B3>,"[0, 3]","[11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,29,2.125
57.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,29,2.5
58,<music21.chord.Chord G4 A2>,"[0, 2]","[7, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,30,1
58.125,<music21.chord.Chord A2>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,30,1.125
58.5,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,30,1.5
59,<music21.chord.Chord E4 G3 C#4>,"[0, 3, 6]","[1, 4, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,30,2
59.125,<music21.chord.Chord G3 C#4>,"[0, 6]","[1, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,30,2.125
59.5,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,30,2.5
60,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,31,1
61,<music21.chord.Chord D4 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,31,2
61.125,<music21.chord.Chord D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,31,2.125
61.75,<music21.chord.Chord A3>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,31,2.75
62,<music21.chord.Chord D4 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,32,1
