Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,MeasureCount
118.5,<music21.chord.Chord F3 F4 B-1 B-2>,"[0, 5]","[5, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,19,4
119,<music21.chord.Chord B-3 E-4 B-1 B-2>,"[0, 5]","[10, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,19,4.3
119.5,<music21.chord.Chord B-3 D4 B-4 G#3 B-2>,"[0, 2, 6]","[8, 10, 2]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,19,4.7
120,<music21.chord.Chord G3 E-4 E-2 E-3>,"[0, 4]","[3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,1
120.5,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,1.3
121,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,1.7
121.5,<music21.chord.Chord E-3 E-4 E-1>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,2
122,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,2.3
122.5,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,2.7
123,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,3
123.5,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,3.3
124,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,3.7
124.5,<music21.chord.Chord E-3 E-4>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,4
125,<music21.chord.Chord E-3 E-4 D2>,"[0, 1]","[2, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,4.3
125.5,<music21.chord.Chord E-3 E-4 E-2>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,20,4.7
126,<music21.chord.Chord G#1 G#2>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,1
126.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,1.3
127,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,1.7
127.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,2
128,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,2.3
128.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,2.7
129,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,3
129.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,3.3
130,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,3.7
130.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,4
131,<music21.chord.Chord B3 E-4 G#4 G1 G2>,"[0, 1, 4, 8]","[7, 8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,4.3
131.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,21,4.7
132,<music21.chord.Chord B1 B2>,[0],[11],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,1
132.5,<music21.chord.Chord G#3 C#4 E4 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,1.3
133,<music21.chord.Chord G#3 C#4 E4 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,1.7
133.375,<music21.chord.Chord G#3 C#4 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,1.917
133.5,<music21.chord.Chord B-1 B-2>,[0],[10],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,2
134,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,2.3
134.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,2.7
135,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,3
135.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,3.3
136,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,3.7
136.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,4
137,<music21.chord.Chord G3 C#4 E4 G4 A1 A2>,"[0, 3, 6, 8]","[1, 4, 7, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,4.3
137.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,22,4.7
138,<music21.chord.Chord C#2 C#3>,[0],[1],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,1
138.5,<music21.chord.Chord A3 E-4 F#4 A4 C#2 C#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,1.3
139,<music21.chord.Chord A3 E-4 F#4 A4 C#2 C#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,1.7
139.375,<music21.chord.Chord A3 E-4 F#4 A4>,"[0, 3, 6]","[3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,1.917
139.5,<music21.chord.Chord C2 C3>,[0],[0],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,2
140,<music21.chord.Chord G#3 E-4 F#4 G#4>,"[0, 3, 5]","[3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,2.3
140.5,<music21.chord.Chord G#3 E-4 F#4 G#4>,"[0, 3, 5]","[3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,2.7
141,<music21.chord.Chord E2 E3>,[0],[4],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,3
141.5,<music21.chord.Chord C#4 F#4 A4 C#5 E2 E3>,"[0, 3, 5, 8]","[1, 4, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,3.3
142,<music21.chord.Chord C#4 F#4 A4 C#5 E2 E3>,"[0, 3, 5, 8]","[1, 4, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,3.7
142.375,<music21.chord.Chord C#4 F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,3.917
142.5,<music21.chord.Chord E-2 E-3>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,4
143,<music21.chord.Chord C4 F#4 G#4 C5 D3>,"[0, 2, 6, 8]","[0, 2, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,4.3
143.5,<music21.chord.Chord C4 F#4 G#4 C5 E-3>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,23,4.7
144,<music21.chord.Chord A3 A2>,[0],[9],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,1
144.5,<music21.chord.Chord F#4 C5 E-5 F#5 A3 A2>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,1.3
145,<music21.chord.Chord F#4 C5 E-5 F#5 A3 A2>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,1.7
145.5,<music21.chord.Chord F#4 C5 E-5 F#5 A3 A2>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,2
146,<music21.chord.Chord F#4 C5 E-5 F#5 A3 A2>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,2.3
146.375,<music21.chord.Chord F#4 C5 E-5 F#5>,"[0, 3, 6]","[0, 3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,2.583
146.5,<music21.chord.Chord F#4 C5 E-5 F#5 A3 A2>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,2.7
147,<music21.chord.Chord G#3 G#2>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,3
147.5,<music21.chord.Chord G#4 C5 E-5 G#5 G#3 G#2>,"[0, 4, 7]","[8, 0, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,3.3
147.875,<music21.chord.Chord G#4 C5 E-5 G#5>,"[0, 4, 7]","[8, 0, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,3.583
148,<music21.chord.Chord A4 C5 E-5 F#5 A5 F#3 F#2>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,3.7
148.5,<music21.chord.Chord E2 E3>,[0],[4],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,4
149,<music21.chord.Chord C#5 G#5 C#6 E2 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,4.3
149.375,<music21.chord.Chord C#5 G#5 C#6>,"[0, 5]","[8, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,4.583
149.5,<music21.chord.Chord E-5 G#5 C6 E-6 E-2 E-3>,"[0, 4, 7]","[8, 0, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,24,4.7
150,<music21.chord.Chord F#5 F#6 C#2>,"[0, 5]","[1, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,1
150.125,<music21.chord.Chord F#5 F#6 C#3 C#2>,"[0, 5]","[1, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,1.083
150.5,<music21.chord.Chord A5 C6 E-6 F#5 F#6>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,1.3
151,<music21.chord.Chord A5 C6 E-6 F#5 F#6 C4 E-4 F#4 A4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,1.7
151.5,<music21.chord.Chord A5 C6 E-6 F#5 F#6 C4 E-4 F#4 A4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,2
152,<music21.chord.Chord A5 C6 E-6 F#5 F#6 C4 E-4 F#4 A4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,2.3
152.5,<music21.chord.Chord F#5 F#6 C4 E-4 F#4 A4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,2.7
153,<music21.chord.Chord F#5 F#6 C#4 E4 G#4>,"[0, 3, 5, 7]","[1, 4, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,3
153.5,<music21.chord.Chord G#5 C#6 F#5 F#6>,"[0, 2, 7]","[6, 8, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,3.3
154,<music21.chord.Chord E5 E6 G#5 C#6 B-3 B-2>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,3.7
154.5,<music21.chord.Chord E-5 E-6 G#5 B5 B3 B2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,4
155,<music21.chord.Chord G#5 B5 E-5 E-6 B3 B2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,4.3
155.375,<music21.chord.Chord E-5 E-6 G#5 B5>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,4.583
155.5,<music21.chord.Chord C#5 C#6 G#5 E4 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,25,4.7
156,<music21.chord.Chord B5 B4 E-3>,"[0, 4]","[11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,1
156.125,<music21.chord.Chord B5 B4 E-4 E-3>,"[0, 4]","[11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,1.083
156.5,<music21.chord.Chord B4 E-5 B5>,"[0, 4]","[11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,1.3
157,<music21.chord.Chord B4 E-5 B5 E-4 G#4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,1.7
157.5,<music21.chord.Chord B4 E-5 B5 E-4 G#4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,2
158,<music21.chord.Chord B4 E-5 B5 E-4 G#4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,2.3
158.5,<music21.chord.Chord B4 E-5 B5 E-4 G#4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,2.7
159,<music21.chord.Chord B4 D5 F5 B5 E-4 G#4>,"[0, 1, 3, 6, 9]","[2, 3, 5, 8, 11]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,3
159.5,<music21.chord.Chord B4 D5 F5 B5>,"[0, 3, 6]","[11, 2, 5]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,3.3
160,<music21.chord.Chord G5 G4>,[0],[7],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,3.7
160.5,<music21.chord.Chord G#5 G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,4
161,<music21.chord.Chord F6 C#5>,"[0, 4]","[1, 5]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,4.3
161.75,<music21.chord.Chord B4 B5>,[0],[11],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,26,4.83
162,<music21.chord.Chord B-4 B-5 E-2>,"[0, 5]","[10, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,1
162.125,<music21.chord.Chord B-4 B-5 E-3 E-2>,"[0, 5]","[10, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,1.083
162.5,<music21.chord.Chord C#5 E5 B-4 B-5>,"[0, 3, 6]","[10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,1.3
163,<music21.chord.Chord C#5 E5 B-4 B-5 E-4 G#4>,"[0, 2, 5, 7, 8]","[8, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,1.7
163.5,<music21.chord.Chord C#5 E5 B-4 B-5 E-4 G#4>,"[0, 2, 5, 7, 8]","[8, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,2
164,<music21.chord.Chord C#5 E5 B-4 B-5 E-4 G#4>,"[0, 2, 5, 7, 8]","[8, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,2.3
164.5,<music21.chord.Chord C#5 E5 B-4 B-5 E-4 G#4>,"[0, 2, 5, 7, 8]","[8, 10, 1, 3, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,2.7
165,<music21.chord.Chord C#5 E-5 B-4 B-5 E-4 G4>,"[0, 3, 6, 8]","[7, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,3
165.5,<music21.chord.Chord E-5 C#6 E-4 G4 C#5>,"[0, 2, 6]","[1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,3.3
166,<music21.chord.Chord E-5 D6 E-4 G4 C#5>,"[0, 1, 2, 6]","[1, 2, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,3.7
166.5,<music21.chord.Chord E-5 E-6 E-4 G4 C#5>,"[0, 2, 6]","[1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,4
167,<music21.chord.Chord E-5 B-5 E-4 G4 C#5>,"[0, 3, 6, 8]","[7, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,4.3
167.5,<music21.chord.Chord E-5 B5 E-4 G4 C#5>,"[0, 2, 4, 8]","[11, 1, 3, 7]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,27,4.7
168,<music21.chord.Chord B4 G#5 G#3 E-4 G#4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,1
168.5,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,1.3
169,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,1.7
169.5,<music21.chord.Chord G#4 G#1>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,2
170,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,2.3
170.5,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,2.7
171,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,3
171.5,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,3.3
172,<music21.chord.Chord G4>,[0],[7],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,3.7
172.5,<music21.chord.Chord G#4>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,4
173,<music21.chord.Chord E-5>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,4.3
173.75,<music21.chord.Chord C#5>,[0],[1],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,28,4.83
174,<music21.chord.Chord C#5 G#2>,"[0, 5]","[8, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,1
174.5,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,1.3
175,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,1.7
175.5,<music21.chord.Chord C5 E-4>,"[0, 3]","[0, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,2
176,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,2.3
176.5,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,2.7
177,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,3
177.5,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,3.3
177.875,<music21.chord.Chord C5 F#4 A4>,"[0, 3, 6]","[6, 9, 0]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,3.583
178,<music21.chord.Chord A4 E-4 F#4 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,3.7
178.5,<music21.chord.Chord F#4 C4 E-4 A3>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,4
179,<music21.chord.Chord C4 E-4 F#4 A3>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,4.3
179.375,<music21.chord.Chord F#4 C4 E-4>,"[0, 3, 6]","[0, 3, 6]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,4.583
179.5,<music21.chord.Chord E-4 A3 C4 F#3>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,29,4.7
180,<music21.chord.Chord G#2>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,1
180.25,<music21.chord.Chord F#3 G#2>,"[0, 2]","[6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,1.17
180.375,<music21.chord.Chord E-4 G#2 F#3>,"[0, 3, 5]","[3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,1.25
180.5,<music21.chord.Chord G#3 G#2 F#3 E-4>,"[0, 3, 5]","[3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,1.3
180.625,<music21.chord.Chord G#3 G#4 G#2 F#3 E-4>,"[0, 3, 5]","[3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,1.417
181,<music21.chord.Chord G#3 G#2 F#3 E-4 G#4>,"[0, 3, 5]","[3, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,1.7
181.5,<music21.chord.Chord C#4 E3 G#2 F#3 G#4>,"[0, 3, 5, 7]","[1, 4, 6, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,2
181.625,<music21.chord.Chord C#4 G#2 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,2.083
182,<music21.chord.Chord G#3 C#4 G#2 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,2.3
182.5,<music21.chord.Chord G#3 C#4 G#2 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,2.7
183,<music21.chord.Chord G#3 C#4 G#2 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,3
183.5,<music21.chord.Chord G#3 C#4 G#2 E3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,3.3
184,<music21.chord.Chord E-3 G#2>,"[0, 5]","[3, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,3.7
184.5,<music21.chord.Chord E3 G#2>,"[0, 4]","[4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,4
185,<music21.chord.Chord B3>,[0],[11],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,4.3
185.75,<music21.chord.Chord B-3>,[0],[10],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,30,4.83
186,<music21.chord.Chord G#3 E4 G#2>,"[0, 4]","[4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,31,1
186.5,<music21.chord.Chord B-3 C#4 G#3 E4 G#2>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,31,1.3
187,<music21.chord.Chord B-3 C#4 G#3 E4 G#2>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,31,1.7
187.5,<music21.chord.Chord G3 E-4 G#2>,"[0, 4, 5]","[3, 7, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,31,2
188,<music21.chord.Chord B-3 C#4 G3 E-4 G#2>,"[0, 1, 3, 6, 8]","[7, 8, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,31,2.3
188.5,<music21.chord.Chord B-3 C#4 G3 E-4 G#2>,"[0, 1, 3, 6, 8]","[7, 8, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,31,2.7
