Offset,Chord,measureNumber,NormalForm,PCsInNormalForm,File,Composer,beatNumber
47.5,<music21.chord.Chord F5 B-4 G4>,18,"[0, 2, 5]","[5, 7, 10]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
48,<music21.chord.Chord D5 G#4 F4>,19,"[0, 3, 6]","[2, 5, 8]",La Cloches Sonne S248 C minor.mid,Liszt,1
48.5,<music21.chord.Chord D5 G#4 B-3 F4>,19,"[0, 3, 6, 8]","[2, 5, 8, 10]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
49,<music21.chord.Chord E-5 G#4 F4 B-3>,19,"[0, 2, 5, 7]","[3, 5, 8, 10]",La Cloches Sonne S248 C minor.mid,Liszt,2
49.5,<music21.chord.Chord F5 G#4 F4>,19,"[0, 3]","[5, 8]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
50,<music21.chord.Chord G4 G5 B3 D4>,20,"[0, 4, 7]","[7, 11, 2]",La Cloches Sonne S248 C minor.mid,Liszt,3
52,<music21.chord.Chord G4>,21,[0],[7],La Cloches Sonne S248 C minor.mid,Liszt,2
53,<music21.chord.Chord G4 B3 D4>,21,"[0, 4, 7]","[7, 11, 2]",La Cloches Sonne S248 C minor.mid,Liszt,3
53.25,<music21.chord.Chord F4 G4 B3 D4>,21,"[0, 3, 6, 8]","[11, 2, 5, 7]",La Cloches Sonne S248 C minor.mid,Liszt,3.25
53.5,<music21.chord.Chord G#4 B3 D4>,21,"[0, 3, 6]","[8, 11, 2]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
53.75,<music21.chord.Chord G4 B3 D4>,21,"[0, 4, 7]","[7, 11, 2]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
54,<music21.chord.Chord E-4 C4>,22,"[0, 3]","[0, 3]",La Cloches Sonne S248 C minor.mid,Liszt,1
55,<music21.chord.Chord G4 G#3 C4>,22,"[0, 1, 5]","[7, 8, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
55.5,<music21.chord.Chord F4 G#3 C4>,22,"[0, 3, 7]","[5, 8, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
56,<music21.chord.Chord C#4 F3 G#3>,23,"[0, 4, 7]","[1, 5, 8]",La Cloches Sonne S248 C minor.mid,Liszt,3
