measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
8,1.667,22.5,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
8,2.000,23,<music21.chord.Chord E2 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
8,2.667,24,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,1.000,24.5,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,1.500,25.25,<music21.chord.Chord E3 G3 B3 F#4>,"[0, 2, 3, 7]","[4, 6, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,1.667,25.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,2.000,26,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,2.500,26.75,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,2.667,27,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,1.000,27.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,1.333,28,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,2.000,29,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,2.667,30,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,1.000,30.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,1.500,31.25,<music21.chord.Chord E3 G3 B3 A4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,1.667,31.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,2.000,32,<music21.chord.Chord E3 A3 C#4 E5>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,2.500,32.75,<music21.chord.Chord E3 A3 C#4 D5>,"[0, 4, 5, 7]","[9, 1, 2, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,2.667,33,<music21.chord.Chord E3 A3 C#4 E5>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,1.000,33.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,2.000,35,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,2.333,35.5,<music21.chord.Chord E3 A3 C#4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,2.667,36,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,1.000,36.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,1.333,37,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,1.667,37.5,<music21.chord.Chord F4 C5>,"[0, 5]","[0, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,2.000,38,<music21.chord.Chord C4 C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,2.333,38.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,2.667,39,<music21.chord.Chord D5>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,1.000,39.5,<music21.chord.Chord E3 B3 G5>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,1.333,40,<music21.chord.Chord E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,1.667,40.5,<music21.chord.Chord E4 E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,2.000,41,<music21.chord.Chord B3 E5>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,2.333,41.5,<music21.chord.Chord E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
