Offset,Chord,NormalForm,PCsInNormalForm,measureNumber,Measure Count,Composer
186.5,<music21.chord.Chord E5 A4 E4 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
186.625,<music21.chord.Chord E5 G#4 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
187,<music21.chord.Chord E5 G#4 E-4 G-1>,"[0, 1, 4, 5]","[3, 4, 7, 8]",,,Alkan
187.125,<music21.chord.Chord E5 F#4 E-4 G-1>,"[0, 1, 3, 4]","[3, 4, 6, 7]",,,Alkan
187.5,<music21.chord.Chord E5 F#4 C#4 G-1>,"[0, 3, 5, 6]","[1, 4, 6, 7]",,,Alkan
187.625,<music21.chord.Chord E5 E4 C#4 G-1>,"[0, 3, 6]","[1, 4, 7]",,,Alkan
187.75,<music21.chord.Chord F#5 E4 C#4 G-1>,"[0, 3, 5, 6]","[1, 4, 6, 7]",,,Alkan
188,<music21.chord.Chord A5 E4 B3 G-1>,"[0, 3, 5, 7]","[4, 7, 9, 11]",,,Alkan
188.125,<music21.chord.Chord A5 F#4 B3 G-1>,"[0, 1, 3, 5]","[6, 7, 9, 11]",,,Alkan
188.5,<music21.chord.Chord G#5 F#4 B3 G-1>,"[0, 1, 2, 5]","[6, 7, 8, 11]",,,Alkan
188.625,<music21.chord.Chord G#5 E-4 B3 G-1>,"[0, 1, 4, 8]","[7, 8, 11, 3]",,,Alkan
189,<music21.chord.Chord F#5 E-4 E3 G-1>,"[0, 1, 3, 4]","[3, 4, 6, 7]",,,Alkan
189.125,<music21.chord.Chord F#5 G#4 E3 G-1>,"[0, 2, 3, 4]","[4, 6, 7, 8]",,,Alkan
189.5,<music21.chord.Chord E5 G#4 E3 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
189.625,<music21.chord.Chord E5 E4 E3 G-1>,"[0, 3]","[4, 7]",,,Alkan
190,<music21.chord.Chord F#5 E4 F#3 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
190.125,<music21.chord.Chord F#5 E-4 F#3 G-1>,"[0, 3, 4]","[3, 6, 7]",,,Alkan
190.5,<music21.chord.Chord E5 E-4 F#3 G-1>,"[0, 1, 3, 4]","[3, 4, 6, 7]",,,Alkan
191,<music21.chord.Chord E-5 E-4 F#3 F#2 G-1>,"[0, 3, 4]","[3, 6, 7]",,,Alkan
191.125,<music21.chord.Chord E-5 C#4 E4 F#3 G-1 F#2>,"[0, 2, 3, 5, 6]","[1, 3, 4, 6, 7]",,,Alkan
191.5,<music21.chord.Chord C#5 C#4 E4 F#3 G-1 F#2>,"[0, 3, 5, 6]","[1, 4, 6, 7]",,,Alkan
192,<music21.chord.Chord B4 C#4 E4 F#3 B2 G-1>,"[0, 2, 5, 7, 8]","[11, 1, 4, 6, 7]",,,Alkan
192.125,<music21.chord.Chord B4 C#4 E4 F#3 G-1 B2>,"[0, 2, 5, 7, 8]","[11, 1, 4, 6, 7]",,,Alkan
194.125,<music21.chord.Chord B4 B3 E-4 F#3 G-1 B2>,"[0, 4, 7, 8]","[11, 3, 6, 7]",,,Alkan
195,<music21.chord.Chord B4 B3 E-4 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
195.125,<music21.chord.Chord B4 B3 G-1>,"[0, 4]","[7, 11]",,,Alkan
195.5,<music21.chord.Chord C#5 B3 G-1>,"[0, 4, 6]","[7, 11, 1]",,,Alkan
195.75,<music21.chord.Chord C#5 G#3 G-1>,"[0, 1, 6]","[7, 8, 1]",,,Alkan
196,<music21.chord.Chord E-5 F3 G-1>,"[0, 2, 4]","[3, 5, 7]",,,Alkan
196.5,<music21.chord.Chord B4 F3 G-1>,"[0, 2, 6]","[5, 7, 11]",,,Alkan
197,<music21.chord.Chord G#4 F3 G-1>,"[0, 2, 3]","[5, 7, 8]",,,Alkan
197.125,<music21.chord.Chord G#4 C#4 F3 G-1>,"[0, 4, 6, 7]","[1, 5, 7, 8]",,,Alkan
197.5,<music21.chord.Chord C#5 G#4 C#4 F3 G-1>,"[0, 4, 6, 7]","[1, 5, 7, 8]",,,Alkan
198,<music21.chord.Chord B4 C#4 F3 G-1>,"[0, 2, 6, 8]","[5, 7, 11, 1]",,,Alkan
198.125,<music21.chord.Chord B4 C#4 F3 G-1>,"[0, 2, 6, 8]","[5, 7, 11, 1]",,,Alkan
199,<music21.chord.Chord B-4 C#4 F3 G-1>,"[0, 2, 5, 8]","[5, 7, 10, 1]",,,Alkan
199.125,<music21.chord.Chord B-4 C#4 F3 G-1>,"[0, 2, 5, 8]","[5, 7, 10, 1]",,,Alkan
200,<music21.chord.Chord B-4 C#4 G#3 G-1>,"[0, 1, 3, 6]","[7, 8, 10, 1]",,,Alkan
200.125,<music21.chord.Chord B-4 C#4 G#3 G-1>,"[0, 1, 3, 6]","[7, 8, 10, 1]",,,Alkan
201.5,<music21.chord.Chord B-4 C#4 G3 G-1>,"[0, 3, 6]","[7, 10, 1]",,,Alkan
202,<music21.chord.Chord B4 C#4 F#3 G-1>,"[0, 1, 5, 7]","[6, 7, 11, 1]",,,Alkan
203,<music21.chord.Chord E4 C#4 A3 G-1>,"[0, 3, 6, 8]","[1, 4, 7, 9]",,,Alkan
203.125,<music21.chord.Chord E4 A3 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
203.75,<music21.chord.Chord G#4 F#3 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
204,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
205,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
205.125,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
206,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
206.125,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
207,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
207.125,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
208,<music21.chord.Chord B4 B3 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
208.125,<music21.chord.Chord B4 B3 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
209.5,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
210,<music21.chord.Chord B4 B3 E3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
211,<music21.chord.Chord G#4 B3 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
211.125,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
211.75,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
212,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
213,<music21.chord.Chord E5 E-4 G-1>,"[0, 1, 4]","[3, 4, 7]",,,Alkan
213.125,<music21.chord.Chord E5 F#4 A4 E-4 G-1>,"[0, 1, 3, 4, 6]","[3, 4, 6, 7, 9]",,,Alkan
214,<music21.chord.Chord E5 F#4 A4 E4 G-1>,"[0, 2, 3, 5]","[4, 6, 7, 9]",,,Alkan
214.125,<music21.chord.Chord E5 G#4 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
215,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
215.125,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
216,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
217,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
217.125,<music21.chord.Chord E5 B4 D5 G#4 G-1>,"[0, 3, 5, 8, 9]","[11, 2, 4, 7, 8]",,,Alkan
218,<music21.chord.Chord E5 B4 D5 A4 G-1>,"[0, 2, 4, 7, 9]","[7, 9, 11, 2, 4]",,,Alkan
218.125,<music21.chord.Chord E5 C#5 A4 G-1>,"[0, 3, 6, 8]","[1, 4, 7, 9]",,,Alkan
219,<music21.chord.Chord E5 C#5 G-1>,"[0, 3, 6]","[1, 4, 7]",,,Alkan
219.125,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,,Alkan
219.75,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
219.875,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
220,<music21.chord.Chord A5 G-1>,"[0, 2]","[7, 9]",,,Alkan
220.5,<music21.chord.Chord G#5 G-1>,"[0, 1]","[7, 8]",,,Alkan
221,<music21.chord.Chord F#5 A3 G-1>,"[0, 1, 3]","[6, 7, 9]",,,Alkan
221.125,<music21.chord.Chord F#5 A4 A3 G-1>,"[0, 1, 3]","[6, 7, 9]",,,Alkan
221.5,<music21.chord.Chord E5 A4 A3 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
222,<music21.chord.Chord F#5 A4 B3 G-1>,"[0, 1, 3, 5]","[6, 7, 9, 11]",,,Alkan
222.125,<music21.chord.Chord F#5 G#4 B4 B3 G-1>,"[0, 1, 2, 5]","[6, 7, 8, 11]",,,Alkan
222.5,<music21.chord.Chord E5 G#4 B4 B3 G-1>,"[0, 3, 4, 7]","[4, 7, 8, 11]",,,Alkan
223,<music21.chord.Chord E-5 G#4 B4 B3 B2 G-1>,"[0, 1, 4, 8]","[7, 8, 11, 3]",,,Alkan
223.125,<music21.chord.Chord E-5 F#4 A4 B3 G-1 B2>,"[0, 3, 4, 6, 8]","[3, 6, 7, 9, 11]",,,Alkan
223.5,<music21.chord.Chord C#5 F#4 A4 B3 G-1 B2>,"[0, 1, 3, 5, 7]","[6, 7, 9, 11, 1]",,,Alkan
224,<music21.chord.Chord F#4 A4 B3 E3 G-1>,"[0, 2, 3, 5, 7]","[4, 6, 7, 9, 11]",,,Alkan
224.125,<music21.chord.Chord F#4 A4 B3 G-1 E3>,"[0, 2, 3, 5, 7]","[4, 6, 7, 9, 11]",,,Alkan
225,<music21.chord.Chord B4 F#4 A4 B3 G-1 E3>,"[0, 2, 3, 5, 7]","[4, 6, 7, 9, 11]",,,Alkan
226.125,<music21.chord.Chord B4 E4 G#4 B3 G-1 E3>,"[0, 3, 4, 7]","[4, 7, 8, 11]",,,Alkan
227,<music21.chord.Chord B4 E4 G#4 B3 G-1>,"[0, 3, 4, 7]","[4, 7, 8, 11]",,,Alkan
227.125,<music21.chord.Chord B4 B3 G-1>,"[0, 4]","[7, 11]",,,Alkan
227.5,<music21.chord.Chord C#5 B3 G-1>,"[0, 4, 6]","[7, 11, 1]",,,Alkan
227.75,<music21.chord.Chord C#5 G#3 G-1>,"[0, 1, 6]","[7, 8, 1]",,,Alkan
228,<music21.chord.Chord E-5 F3 G-1>,"[0, 2, 4]","[3, 5, 7]",,,Alkan
228.5,<music21.chord.Chord B4 F3 G-1>,"[0, 2, 6]","[5, 7, 11]",,,Alkan
229,<music21.chord.Chord E5 F3 G-1>,"[0, 1, 3]","[4, 5, 7]",,,Alkan
229.125,<music21.chord.Chord E5 C#4 F3 G-1>,"[0, 3, 4, 6]","[1, 4, 5, 7]",,,Alkan
229.5,<music21.chord.Chord C#5 C#4 F3 G-1>,"[0, 4, 6]","[1, 5, 7]",,,Alkan
230,<music21.chord.Chord B4 C#4 F3 G-1>,"[0, 2, 6, 8]","[5, 7, 11, 1]",,,Alkan
230.125,<music21.chord.Chord B4 C#4 F3 G-1>,"[0, 2, 6, 8]","[5, 7, 11, 1]",,,Alkan
231,<music21.chord.Chord B-4 C#4 F3 G-1>,"[0, 2, 5, 8]","[5, 7, 10, 1]",,,Alkan
231.125,<music21.chord.Chord B-4 C#4 F3 G-1>,"[0, 2, 5, 8]","[5, 7, 10, 1]",,,Alkan
232,<music21.chord.Chord B-4 C#4 G#3 G-1>,"[0, 1, 3, 6]","[7, 8, 10, 1]",,,Alkan
232.125,<music21.chord.Chord B-4 C#4 G#3 G-1>,"[0, 1, 3, 6]","[7, 8, 10, 1]",,,Alkan
233.5,<music21.chord.Chord B-4 C#4 G3 G-1>,"[0, 3, 6]","[7, 10, 1]",,,Alkan
234,<music21.chord.Chord B4 C#4 F#3 G-1>,"[0, 1, 5, 7]","[6, 7, 11, 1]",,,Alkan
235,<music21.chord.Chord C#4 A3 G-1>,"[0, 2, 6]","[7, 9, 1]",,,Alkan
235.125,<music21.chord.Chord A3 G-1>,"[0, 2]","[7, 9]",,,Alkan
235.75,<music21.chord.Chord F#3 G-1>,"[0, 1]","[6, 7]",,,Alkan
236,<music21.chord.Chord E-3 G-1>,"[0, 4]","[3, 7]",,,Alkan
237,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
237.125,<music21.chord.Chord B4 B3 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
238,<music21.chord.Chord C#5 B3 E-3 G-1>,"[0, 2, 4, 8]","[11, 1, 3, 7]",,,Alkan
238.125,<music21.chord.Chord C#5 B3 E-3 G-1>,"[0, 2, 4, 8]","[11, 1, 3, 7]",,,Alkan
239,<music21.chord.Chord G#4 B3 E-3 G-1>,"[0, 1, 4, 8]","[7, 8, 11, 3]",,,Alkan
239.125,<music21.chord.Chord G#4 B3 E-3 G-1>,"[0, 1, 4, 8]","[7, 8, 11, 3]",,,Alkan
240,<music21.chord.Chord B4 B3 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
240.125,<music21.chord.Chord B4 B3 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
241.5,<music21.chord.Chord B-4 B3 E-3 G-1>,"[0, 4, 7, 8]","[3, 7, 10, 11]",,,Alkan
242,<music21.chord.Chord A4 B3 E3 G-1>,"[0, 3, 5, 7]","[4, 7, 9, 11]",,,Alkan
243,<music21.chord.Chord B3 G-1>,"[0, 4]","[7, 11]",,,Alkan
243.125,<music21.chord.Chord G-1>,[0],[7],,,Alkan
245,<music21.chord.Chord A4 E-4 G-1>,"[0, 4, 6]","[3, 7, 9]",,,Alkan
245.125,<music21.chord.Chord A4 F#4 E-4 G-1>,"[0, 3, 4, 6]","[3, 6, 7, 9]",,,Alkan
246,<music21.chord.Chord B4 F#4 A4 E4 G-1>,"[0, 2, 3, 5, 7]","[4, 6, 7, 9, 11]",,,Alkan
246.125,<music21.chord.Chord B4 G#4 E4 G-1>,"[0, 3, 4, 7]","[4, 7, 8, 11]",,,Alkan
247,<music21.chord.Chord F#4 G#4 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
247.125,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
248,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,,Alkan
249,<music21.chord.Chord A4 E4 G#3 G-1>,"[0, 3, 4, 5]","[4, 7, 8, 9]",,,Alkan
249.125,<music21.chord.Chord A4 B4 D5 E4 G-1 G#3>,"[0, 1, 2, 4, 7, 9]","[7, 8, 9, 11, 2, 4]",,,Alkan
249.5,<music21.chord.Chord G4 B4 D5 E4 G-1 G#3>,"[0, 3, 5, 8, 9]","[11, 2, 4, 7, 8]",,,Alkan
250,<music21.chord.Chord G#4 B4 D5 E4 A3 G-1>,"[0, 1, 2, 4, 7, 9]","[7, 8, 9, 11, 2, 4]",,,Alkan
250.125,<music21.chord.Chord G#4 A4 C#5 E4 G-1 A3>,"[0, 3, 6, 7, 8]","[1, 4, 7, 8, 9]",,,Alkan
251,<music21.chord.Chord E4 A4 C#5 G-1>,"[0, 3, 6, 8]","[1, 4, 7, 9]",,,Alkan
251.125,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
251.75,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
252,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
253,<music21.chord.Chord B4 E4 A3 G-1>,"[0, 3, 5, 7]","[4, 7, 9, 11]",,,Alkan
253.125,<music21.chord.Chord B4 C#5 E4 G-1 A3>,"[0, 2, 4, 6, 9]","[7, 9, 11, 1, 4]",,,Alkan
253.5,<music21.chord.Chord B4 C#5 F#4 G-1 A3>,"[0, 1, 3, 5, 7]","[6, 7, 9, 11, 1]",,,Alkan
254,<music21.chord.Chord B4 C#5 G#4 B3 G-1>,"[0, 1, 4, 6]","[7, 8, 11, 1]",,,Alkan
254.125,<music21.chord.Chord B4 G#4 G-1 B3>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
255,<music21.chord.Chord G#4 B4 F#4 B3 G-1>,"[0, 1, 2, 5]","[6, 7, 8, 11]",,,Alkan
255.125,<music21.chord.Chord G#4 A4 F#4 G-1 B3>,"[0, 1, 2, 3, 5]","[6, 7, 8, 9, 11]",,,Alkan
255.75,<music21.chord.Chord B4 A4 F#4 G-1 B3>,"[0, 1, 3, 5]","[6, 7, 9, 11]",,,Alkan
256,<music21.chord.Chord E5 A4 F#4 E4 G-1>,"[0, 2, 3, 5]","[4, 6, 7, 9]",,,Alkan
256.125,<music21.chord.Chord E5 A4 F#4 G-1 E4>,"[0, 2, 3, 5]","[4, 6, 7, 9]",,,Alkan
258,<music21.chord.Chord E5 A4 E4 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
258.125,<music21.chord.Chord E5 G#4 G-1 E4>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
259,<music21.chord.Chord F#5 G#4 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
259.125,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
259.75,<music21.chord.Chord G#5 G-1>,"[0, 1]","[7, 8]",,,Alkan
260,<music21.chord.Chord A5 G-1>,"[0, 2]","[7, 9]",,,Alkan
260.5,<music21.chord.Chord C#5 G-1>,"[0, 6]","[1, 7]",,,Alkan
261,<music21.chord.Chord G#5 G-1>,"[0, 1]","[7, 8]",,,Alkan
261.125,<music21.chord.Chord G#5 G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
261.5,<music21.chord.Chord F#5 G#4 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
262,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
262.125,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
263,<music21.chord.Chord E-5 F#4 G-1>,"[0, 3, 4]","[3, 6, 7]",,,Alkan
263.125,<music21.chord.Chord E-5 A4 G-1>,"[0, 4, 6]","[3, 7, 9]",,,Alkan
264,<music21.chord.Chord E-5 A4 G-1>,"[0, 4, 6]","[3, 7, 9]",,,Alkan
264.125,<music21.chord.Chord E-5 G#4 G-1>,"[0, 4, 5]","[3, 7, 8]",,,Alkan
265.625,<music21.chord.Chord E-5 E4 G-1>,"[0, 1, 4]","[3, 4, 7]",,,Alkan
266,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
266.125,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
267,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
267.125,<music21.chord.Chord G-1>,[0],[7],,,Alkan
269,<music21.chord.Chord B4>,[0],[11],,,Alkan
269.125,<music21.chord.Chord B4>,[0],[11],,,Alkan
270,<music21.chord.Chord C#5 B4>,"[0, 2]","[11, 1]",,,Alkan
270.125,<music21.chord.Chord C#5 A4>,"[0, 4]","[9, 1]",,,Alkan
271,<music21.chord.Chord G#4 A4>,"[0, 1]","[8, 9]",,,Alkan
271.125,<music21.chord.Chord G#4 C#5>,"[0, 5]","[8, 1]",,,Alkan
272,<music21.chord.Chord B4 C#5>,"[0, 2]","[11, 1]",,,Alkan
272.125,<music21.chord.Chord B4>,[0],[11],,,Alkan
273.5,<music21.chord.Chord B-4 B4>,"[0, 1]","[10, 11]",,,Alkan
273.625,<music21.chord.Chord B-4 G#4>,"[0, 2]","[8, 10]",,,Alkan
274,<music21.chord.Chord A4 G#4>,"[0, 1]","[8, 9]",,,Alkan
274.125,<music21.chord.Chord A4 B4>,"[0, 2]","[9, 11]",,,Alkan
275,<music21.chord.Chord B4>,[0],[11],,,Alkan
277,<music21.chord.Chord A4>,[0],[9],,,Alkan
278,<music21.chord.Chord B4>,[0],[11],,,Alkan
279,<music21.chord.Chord F#4>,[0],[6],,,Alkan
279.125,<music21.chord.Chord F#4 G#4>,"[0, 2]","[6, 8]",,,Alkan
279.875,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]",,,Alkan
280,<music21.chord.Chord A4>,[0],[9],,,Alkan
280.125,<music21.chord.Chord A4 B4>,"[0, 2]","[9, 11]",,,Alkan
281.125,<music21.chord.Chord A4>,[0],[9],,,Alkan
281.5,<music21.chord.Chord G4 A4>,"[0, 2]","[7, 9]",,,Alkan
281.625,<music21.chord.Chord G4 G#4>,"[0, 1]","[7, 8]",,,Alkan
282,<music21.chord.Chord G#4>,[0],[8],,,Alkan
282.125,<music21.chord.Chord G#4 A4>,"[0, 1]","[8, 9]",,,Alkan
282.625,<music21.chord.Chord G#4>,[0],[8],,,Alkan
283,<music21.chord.Chord E4 G#4>,"[0, 4]","[4, 8]",,,Alkan
283.125,<music21.chord.Chord E4 F#4>,"[0, 2]","[4, 6]",,,Alkan
283.625,<music21.chord.Chord E4>,[0],[4],,,Alkan
283.75,<music21.chord.Chord G#4 E4>,"[0, 4]","[4, 8]",,,Alkan
284,<music21.chord.Chord B4 E4>,"[0, 5]","[11, 4]",,,Alkan
284.125,<music21.chord.Chord B4 E-4>,"[0, 4]","[11, 3]",,,Alkan
285.125,<music21.chord.Chord B4 E4>,"[0, 5]","[11, 4]",,,Alkan
286.125,<music21.chord.Chord B4 E-4 F#4>,"[0, 4, 7]","[11, 3, 6]",,,Alkan
287,<music21.chord.Chord G#4 E-4 F#4>,"[0, 3, 5]","[3, 6, 8]",,,Alkan
287.125,<music21.chord.Chord G#4 C#4 E4>,"[0, 3, 7]","[1, 4, 8]",,,Alkan
287.75,<music21.chord.Chord B4 C#4 E4>,"[0, 2, 5]","[11, 1, 4]",,,Alkan
288,<music21.chord.Chord E5 C#4 E4>,"[0, 3]","[1, 4]",,,Alkan
288.125,<music21.chord.Chord E5 C#4 E4>,"[0, 3]","[1, 4]",,,Alkan
290.125,<music21.chord.Chord E5 B3 E-4>,"[0, 4, 5]","[11, 3, 4]",,,Alkan
291,<music21.chord.Chord F#5 B3 E-4>,"[0, 4, 7]","[11, 3, 6]",,,Alkan
291.125,<music21.chord.Chord F#5>,[0],[6],,,Alkan
291.75,<music21.chord.Chord G#5>,[0],[8],,,Alkan
292,<music21.chord.Chord B5>,[0],[11],,,Alkan
292.5,<music21.chord.Chord A5>,[0],[9],,,Alkan
293,<music21.chord.Chord G#5>,[0],[8],,,Alkan
293.125,<music21.chord.Chord G#5 G#4>,[0],[8],,,Alkan
293.5,<music21.chord.Chord F#5 G#4>,"[0, 2]","[6, 8]",,,Alkan
294,<music21.chord.Chord E5 G#4>,"[0, 4]","[4, 8]",,,Alkan
294.125,<music21.chord.Chord E5 F#4>,"[0, 2]","[4, 6]",,,Alkan
295,<music21.chord.Chord E-5 F#4>,"[0, 3]","[3, 6]",,,Alkan
295.125,<music21.chord.Chord E-5 A4>,"[0, 6]","[3, 9]",,,Alkan
296,<music21.chord.Chord E-5 A4>,"[0, 6]","[3, 9]",,,Alkan
296.125,<music21.chord.Chord E-5 G#4>,"[0, 5]","[3, 8]",,,Alkan
297.625,<music21.chord.Chord E-5 E4>,"[0, 1]","[3, 4]",,,Alkan
298,<music21.chord.Chord E5 E4>,[0],[4],,,Alkan
298.125,<music21.chord.Chord E5 G#4>,"[0, 4]","[4, 8]",,,Alkan
299,<music21.chord.Chord G#4>,[0],[8],,,Alkan
301.125,<music21.chord.Chord B4>,[0],[11],,,Alkan
302.125,<music21.chord.Chord A4>,[0],[9],,,Alkan
303.125,<music21.chord.Chord C#5>,[0],[1],,,Alkan
304.125,<music21.chord.Chord B4>,[0],[11],,,Alkan
305.625,<music21.chord.Chord G#4>,[0],[8],,,Alkan
306.125,<music21.chord.Chord B4>,[0],[11],,,Alkan
311.125,<music21.chord.Chord G#4>,[0],[8],,,Alkan
311.875,<music21.chord.Chord A4>,[0],[9],,,Alkan
312.125,<music21.chord.Chord C#5>,[0],[1],,,Alkan
312.625,<music21.chord.Chord B4>,[0],[11],,,Alkan
313.125,<music21.chord.Chord A4>,[0],[9],,,Alkan
313.625,<music21.chord.Chord G#4>,[0],[8],,,Alkan
314.125,<music21.chord.Chord A4>,[0],[9],,,Alkan
314.625,<music21.chord.Chord G#4>,[0],[8],,,Alkan
315.125,<music21.chord.Chord F#4>,[0],[6],,,Alkan
315.625,<music21.chord.Chord E4>,[0],[4],,,Alkan
316.125,<music21.chord.Chord F#4>,[0],[6],,,Alkan
316.625,<music21.chord.Chord E-4>,[0],[3],,,Alkan
317.125,<music21.chord.Chord G#4>,[0],[8],,,Alkan
317.625,<music21.chord.Chord E4>,[0],[4],,,Alkan
318.125,<music21.chord.Chord E-4>,[0],[3],,,Alkan
319.125,<music21.chord.Chord C#4 E4>,"[0, 3]","[1, 4]",,,Alkan
320.125,<music21.chord.Chord C#4 E4>,"[0, 3]","[1, 4]",,,Alkan
322.125,<music21.chord.Chord B3 E-4>,"[0, 4]","[11, 3]",,,Alkan
325.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
326.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
327.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
328.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
333.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
334.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
335.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
336.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
341.125,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]",,,Alkan
342.125,<music21.chord.Chord G#4>,[0],[8],,,Alkan
345.125,<music21.chord.Chord B4 D5>,"[0, 3]","[11, 2]",,,Alkan
346.125,<music21.chord.Chord C#5>,[0],[1],,,Alkan
349.125,<music21.chord.Chord A4>,[0],[9],,,Alkan
350.125,<music21.chord.Chord G#4 B4>,"[0, 3]","[8, 11]",,,Alkan
351.125,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]",,,Alkan
352.125,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]",,,Alkan
354.125,<music21.chord.Chord E4 G#4>,"[0, 4]","[4, 8]",,,Alkan
357.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
358.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
359.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
360.125,<music21.chord.Chord C#4>,[0],[1],,,Alkan
365.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
366.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
367.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
368.125,<music21.chord.Chord B3>,[0],[11],,,Alkan
373.125,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]",,,Alkan
374.125,<music21.chord.Chord G#4>,[0],[8],,,Alkan
377.125,<music21.chord.Chord B4 D5>,"[0, 3]","[11, 2]",,,Alkan
378.125,<music21.chord.Chord A4 C#5>,"[0, 4]","[9, 1]",,,Alkan
381.125,<music21.chord.Chord C#5>,[0],[1],,,Alkan
