Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
30,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,13,1.000
30.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,13,1.500
31,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,13,2.000
31.5,<music21.chord.Chord D3 F3 A3 D4 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,13,2.500
32,<music21.chord.Chord D3 F3 B-3 C#4 B-5>,"[0, 3, 4, 7]","[10, 1, 2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,13,3.000
32.5,<music21.chord.Chord D3 F3 B-3 C#4 G5>,"[0, 1, 4, 6, 9]","[1, 2, 5, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,13,3.500
33,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,14,1.000
34,<music21.chord.Chord D1 F5>,"[0, 3]","[2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,14,2.000
34.5,<music21.chord.Chord D1>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,14,2.500
35,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,15,1.000
35.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,15,1.500
36,<music21.chord.Chord D3 F3 A3 D4 E5>,"[0, 2, 3, 7]","[2, 4, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,15,2.000
36.25,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,15,2.250
36.5,<music21.chord.Chord D3 F3 A3 D4 G5>,"[0, 3, 5, 7]","[2, 5, 7, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,15,2.500
36.75,<music21.chord.Chord D3 F3 A3 D4 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,15,2.750
37,<music21.chord.Chord D3 F3 B-3 C#4 C6>,"[0, 2, 3, 4, 7]","[10, 0, 1, 2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,15,3.000
37.25,<music21.chord.Chord D3 F3 B-3 C#4 B-5>,"[0, 3, 4, 7]","[10, 1, 2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,15,3.250
37.5,<music21.chord.Chord D3 F3 B-3 C#4 A5>,"[0, 1, 4, 5, 8]","[9, 10, 1, 2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,15,3.500
37.75,<music21.chord.Chord D3 F3 B-3 C#4 G5>,"[0, 1, 4, 6, 9]","[1, 2, 5, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,15,3.750
38,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,16,1.000
39,<music21.chord.Chord D1 F5>,"[0, 3]","[2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,16,2.000
39.5,<music21.chord.Chord C2>,[0],[0],Carbajo_Yellow_Saraband.xml,Carbajo,16,2.500
40,<music21.chord.Chord B-1 F4 D5>,"[0, 4, 7]","[10, 2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,17,1.000
40.5,<music21.chord.Chord B-2 F4 A5>,"[0, 4, 5]","[5, 9, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,17,1.500
40.75,<music21.chord.Chord B-2 A4 A5>,"[0, 1]","[9, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,17,1.750
41,<music21.chord.Chord F3 B-4 A5>,"[0, 4, 5]","[5, 9, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,17,2.000
41.5,<music21.chord.Chord B-3 B-4 D5>,"[0, 4]","[10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,17,2.500
41.75,<music21.chord.Chord B-3 G4 D5>,"[0, 3, 7]","[7, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,17,2.750
42,<music21.chord.Chord G3 F4 D5>,"[0, 3, 5]","[2, 5, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,17,3.000
42.5,<music21.chord.Chord G2 F4 C5>,"[0, 2, 7]","[5, 7, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,17,3.500
42.75,<music21.chord.Chord G2 F4 B-4>,"[0, 2, 5]","[5, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,17,3.750
43,<music21.chord.Chord C3 E4 G4 B-4 C5>,"[0, 3, 6, 8]","[4, 7, 10, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,18,1.000
43.25,<music21.chord.Chord C3 B-4 D5>,"[0, 2, 4]","[10, 0, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,18,1.250
43.5,<music21.chord.Chord F2 C4 E4 A4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,18,1.500
44,<music21.chord.Chord C2 C4 E4 A4>,"[0, 3, 7]","[9, 0, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,18,2.000
44.5,<music21.chord.Chord F1 C4 E4 A4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,18,2.500
45,<music21.chord.Chord G1 B-3 A4>,"[0, 2, 3]","[7, 9, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,19,1.000
45.5,<music21.chord.Chord G2 B-3 D5>,"[0, 3, 7]","[7, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,19,1.500
45.75,<music21.chord.Chord G2 E4 D5>,"[0, 2, 5]","[2, 4, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,19,1.750
46,<music21.chord.Chord B-2 F4 D5>,"[0, 4, 7]","[10, 2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,19,2.000
46.5,<music21.chord.Chord D3 F4 G4>,"[0, 3, 5]","[2, 5, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,19,2.500
46.75,<music21.chord.Chord D3 C4 G4>,"[0, 2, 7]","[0, 2, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,19,2.750
47,<music21.chord.Chord E3 B-3 G4>,"[0, 3, 6]","[4, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,19,3.000
47.5,<music21.chord.Chord G2 B-3 F4>,"[0, 2, 5]","[5, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,19,3.500
47.75,<music21.chord.Chord G2 B-3 E4>,"[0, 3, 6]","[4, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,19,3.750
48,<music21.chord.Chord A2 G3 C#4 F4>,"[0, 2, 4, 8]","[5, 7, 9, 1]",Carbajo_Yellow_Saraband.xml,Carbajo,20,1.000
48.25,<music21.chord.Chord A2 G3 C#4 G4>,"[0, 2, 6]","[7, 9, 1]",Carbajo_Yellow_Saraband.xml,Carbajo,20,1.250
48.5,<music21.chord.Chord D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,20,1.500
49,<music21.chord.Chord A2 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,20,2.000
49.5,<music21.chord.Chord D2 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,20,2.500
50,<music21.chord.Chord D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,21,1.000
50.5,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,21,1.500
51,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,21,2.000
51.5,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,21,2.500
52,<music21.chord.Chord D3 G3 B-3 E-4 B-4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,21,3.000
52.5,<music21.chord.Chord D3 G3 B-3 E-4 G4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,21,3.500
53,<music21.chord.Chord D3 F3 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,22,1.000
53.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,22,1.500
54,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,22,2.000
55,<music21.chord.Chord D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,23,1.000
55.5,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,23,1.500
56,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,23,2.000
56.5,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,23,2.500
57,<music21.chord.Chord D3 G#3 B3 E4 B4>,"[0, 3, 6, 8]","[8, 11, 2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,23,3.000
57.25,<music21.chord.Chord D3 G#3 B3 E4 A4>,"[0, 1, 3, 6, 8]","[8, 9, 11, 2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,23,3.250
57.5,<music21.chord.Chord D3 G#3 B3 E4 G#4>,"[0, 3, 6, 8]","[8, 11, 2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,23,3.500
57.75,<music21.chord.Chord D3 G#3 B3 E4 F#4>,"[0, 2, 4, 6, 9]","[2, 4, 6, 8, 11]",Carbajo_Yellow_Saraband.xml,Carbajo,23,3.750
58,<music21.chord.Chord D3 F3 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,24,1.000
58.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,24,1.500
59,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,24,2.000
59.5,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,24,2.500
60,<music21.chord.Chord D3 F3 A3 D4 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,24,3.000
60.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,24,3.500
61,<music21.chord.Chord D3 G-3 B-3 E-4 B-5>,"[0, 1, 4, 8]","[2, 3, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,1.000
