Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,MeasureCount,Composer
82.375,<music21.chord.Chord F#4 E-3>,"[0, 3]","[3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
82.41666667,<music21.chord.Chord E-3>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
82.75,<music21.chord.Chord C#5 C#4 G#3 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
82.875,<music21.chord.Chord E3 C#5 C#4 G#3 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
83.5,<music21.chord.Chord E3>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
83.875,<music21.chord.Chord C#5 C#4 G#4 G#3 E3 E4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
84.125,<music21.chord.Chord C#5 C#4 G#4 G#3 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
84.25,<music21.chord.Chord C#5>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
85.125,<music21.chord.Chord E5 G#4 B4>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
85.25,<music21.chord.Chord E4 G#3 E5 G#4 B4>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
85.375,<music21.chord.Chord B3 E5 G#4 B4 E4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
85.79166667,<music21.chord.Chord E4 G#3 B3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
85.875,<music21.chord.Chord G#3>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
86.5,<music21.chord.Chord E-5 E-4 G4>,"[0, 4]","[3, 7]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
86.625,<music21.chord.Chord B-4 B-3 G3 E-5 E-4 G4>,"[0, 4, 7]","[3, 7, 10]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
87,<music21.chord.Chord E-5 E-4 B-4 B-3 G3>,"[0, 4, 7]","[3, 7, 10]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
